date,hour,match,home_team,away_team,home_goals_bol,away_goals_bol,home_goals_real,away_goals_real,home_pen_bol,away_pen_bol,home_pen_real,away_pen_real,resultado_bol_placar,resultado_bol_time,resultado_real_placar,resultado_real_time,who,pontos,criterio,valido,1-Placar exato,2-Vencedor + acerto parcial,3-Vencedor + acerto parcial,4-Vencedor correto,5-Gols de um time,6-Nenhum acerto,9-Sem jogo
2026-06-19,01h,méxico-vs-coréia_do_sul,México,Coréia do Sul,1.0,0.0,,,,,,,1 x 0,México,,,Marcelo,0,9-Sem jogo,0,False,False,False,False,False,False,True
2026-06-19,19h,estados_unidos-vs-austrália,Estados Unidos,Austrália,2.0,1.0,,,,,,,2 x 1,Estados Unidos,,,Marcelo,0,9-Sem jogo,0,False,False,False,False,False,False,True
2026-06-19,22h,escócia-vs-marrocos,Escócia,Marrocos,1.0,2.0,,,,,,,1 x 2,Marrocos,,,Marcelo,0,9-Sem jogo,0,False,False,False,False,False,False,True
2026-06-20,01h,brasil-vs-haiti,Brasil,Haiti,4.0,0.0,,,,,,,4 x 0,Brasil,,,Marcelo,0,9-Sem jogo,0,False,False,False,False,False,False,True
2026-06-20,04h,turquia-vs-paraguai,Turquia,Paraguai,2.0,1.0,,,,,,,2 x 1,Turquia,,,Marcelo,0,9-Sem jogo,0,False,False,False,False,False,False,True
2026-06-20,17h,holanda-vs-suécia,Holanda,Suécia,2.0,1.0,,,,,,,2 x 1,Holanda,,,Marcelo,0,9-Sem jogo,0,False,False,False,False,False,False,True
2026-06-20,20h,alemanha-vs-costa_do_marfim,Alemanha,Costa do Marfim,3.0,1.0,,,,,,,3 x 1,Alemanha,,,Marcelo,0,9-Sem jogo,0,False,False,False,False,False,False,True
2026-06-21,00h,equador-vs-curaçao,Equador,Curaçao,3.0,0.0,,,,,,,3 x 0,Equador,,,Marcelo,0,9-Sem jogo,0,False,False,False,False,False,False,True
2026-06-21,04h,tunísia-vs-japão,Tunísia,Japão,0.0,2.0,,,,,,,0 x 2,Japão,,,Marcelo,0,9-Sem jogo,0,False,False,False,False,False,False,True
2026-06-21,16h,espanha-vs-arábia_saudita,Espanha,Arábia Saudita,4.0,1.0,,,,,,,4 x 1,Espanha,,,Marcelo,0,9-Sem jogo,0,False,False,False,False,False,False,True
2026-06-21,19h,bélgica-vs-irã,Bélgica,Irã,2.0,1.0,,,,,,,2 x 1,Bélgica,,,Marcelo,0,9-Sem jogo,0,False,False,False,False,False,False,True
